venta_id,fecha,vendedor_id,cliente,producto,categoria,cantidad,precio_unitario,total_venta,zona,canal
1,2023-01-17,32,Cliente_0189,Papel A4 x500,Oficina,6,22.04,132.24,Provincias,Directo
2,2023-01-11,27,Cliente_0033,Teléfono IP,Tecnología,4,316.5,1266.0,Lima Centro,Teléfono
3,2023-01-22,12,Cliente_0116,"Laptop HP 15""",Tecnología,2,3101.6,6203.2,Provincias,Teléfono
4,2023-01-11,44,Cliente_0116,Proyector Benq,Tecnología,5,1760.3,8801.5,Lima Sur,Directo
5,2023-01-25,31,Cliente_0042,Headset Logitech,Tecnología,11,211.27,2323.97,Lima Sur,Distribuidor
6,2023-01-24,11,Cliente_0135,Papel A4 x500,Oficina,12,21.64,259.68,Lima Sur,Distribuidor
7,2023-01-08,8,Cliente_0087,"Monitor LG 24""",Tecnología,5,612.76,3063.8,Lima Centro,E-commerce
8,2023-01-09,36,Cliente_0078,Teléfono IP,Tecnología,10,375.78,3757.8,Lima Este,E-commerce
9,2023-01-01,25,Cliente_0080,Escritorio Standing,Muebles,7,1317.86,9225.02,Callao,E-commerce
10,2023-01-03,16,Cliente_0102,Webcam Logitech,Tecnología,13,177.42,2306.46,Lima Sur,Distribuidor
11,2023-01-26,43,Cliente_0038,"Monitor LG 24""",Tecnología,2,719.3,1438.6,Callao,Teléfono
12,2023-01-11,4,Cliente_0107,Cartucho Tinta Negro,Oficina,4,46.13,184.52,Lima Sur,Directo
13,2023-01-15,48,Cliente_0199,Router WiFi 6,Tecnología,13,346.58,4505.54,Provincias,E-commerce
14,2023-01-10,8,Cliente_0194,Tablet Samsung,Tecnología,4,697.48,2789.92,Lima Centro,E-commerce
15,2023-01-10,19,Cliente_0073,Archivador Metálico,Muebles,7,418.88,2932.16,Lima Sur,Directo
16,2023-01-17,7,Cliente_0118,Cartucho Tinta Negro,Oficina,3,44.68,134.04,Lima Sur,Directo
17,2023-01-10,14,Cliente_0022,Pizarra Acrílica,Oficina,10,92.99,929.9,Provincias,Teléfono
18,2023-01-20,45,Cliente_0047,Folder Manila x50,Oficina,4,18.59,74.36,Lima Este,E-commerce
19,2023-01-14,2,Cliente_0030,Proyector Benq,Tecnología,7,1776.16,12433.12,Lima Sur,Directo
20,2023-01-10,2,Cliente_0171,Papel A4 x500,Oficina,8,24.07,192.56,Lima Sur,Directo
21,2023-01-01,35,Cliente_0180,Papel A4 x500,Oficina,5,25.27,126.35,Provincias,Teléfono
22,2023-01-11,13,Cliente_0077,UPS 1000VA,Tecnología,6,379.3,2275.8,Callao,Teléfono
23,2023-01-26,31,Cliente_0075,Pizarra Acrílica,Oficina,9,98.48,886.32,Lima Sur,Distribuidor
24,2023-01-19,22,Cliente_0131,"Laptop HP 15""",Tecnología,6,2827.57,16965.42,Lima Centro,E-commerce
25,2023-01-07,11,Cliente_0070,Disco Externo 1TB,Tecnología,12,298.24,3578.88,Lima Sur,Distribuidor
26,2023-01-02,6,Cliente_0098,"Monitor LG 24""",Tecnología,5,688.57,3442.85,Lima Centro,Teléfono
27,2023-01-10,9,Cliente_0109,Disco Externo 1TB,Tecnología,3,259.78,779.34,Lima Norte,Distribuidor
28,2023-01-22,11,Cliente_0065,Folder Manila x50,Oficina,12,18.42,221.04,Lima Sur,Distribuidor
29,2023-01-21,15,Cliente_0059,Cartucho Tinta Negro,Oficina,8,49.96,399.68,Lima Centro,Teléfono
30,2023-01-12,32,Cliente_0066,"Laptop HP 15""",Tecnología,5,3106.48,15532.4,Provincias,Directo
31,2023-01-11,38,Cliente_0175,Teclado Mecánico,Tecnología,4,165.79,663.16,Callao,Teléfono
32,2023-01-12,39,Cliente_0104,Folder Manila x50,Oficina,6,20.41,122.46,Lima Sur,Directo
33,2023-01-19,33,Cliente_0200,Mouse Inalámbrico,Tecnología,2,97.01,194.02,Lima Centro,Distribuidor
34,2023-01-16,11,Cliente_0146,Archivador Metálico,Muebles,11,364.21,4006.31,Lima Sur,Distribuidor
35,2023-01-04,14,Cliente_0005,Router WiFi 6,Tecnología,8,292.57,2340.56,Provincias,Teléfono
36,2023-01-05,43,Cliente_0169,UPS 1000VA,Tecnología,11,422.94,4652.34,Callao,Teléfono
37,2023-01-03,16,Cliente_0070,Proyector Benq,Tecnología,13,1980.6,25747.8,Lima Sur,Distribuidor
38,2023-01-21,34,Cliente_0043,Escritorio Standing,Muebles,14,1316.53,18431.42,Provincias,Distribuidor
39,2023-01-24,43,Cliente_0121,Silla Ergonómica,Muebles,14,953.0,13342.0,Callao,Teléfono
40,2023-01-07,42,Cliente_0110,Pizarra Acrílica,Oficina,6,85.89,515.34,Lima Centro,Teléfono
41,2023-01-20,32,Cliente_0188,UPS 1000VA,Tecnología,15,431.73,6475.95,Provincias,Directo
42,2023-01-01,25,Cliente_0005,Pizarra Acrílica,Oficina,8,102.89,823.12,Callao,E-commerce
43,2023-01-13,27,Cliente_0082,Webcam Logitech,Tecnología,3,183.46,550.38,Lima Centro,Teléfono
44,2023-01-24,32,Cliente_0070,"Laptop HP 15""",Tecnología,12,2670.96,32051.52,Provincias,Directo
45,2023-01-09,36,Cliente_0126,Tablet Samsung,Tecnología,15,811.43,12171.45,Lima Este,E-commerce
46,2023-01-20,3,Cliente_0112,Papel A4 x500,Oficina,6,23.04,138.24,Lima Este,Distribuidor
47,2023-01-13,29,Cliente_0101,Silla Ergonómica,Muebles,12,1002.74,12032.88,Lima Sur,E-commerce
48,2023-01-18,11,Cliente_0014,Impresora Epson,Oficina,10,506.21,5062.1,Lima Sur,Distribuidor
49,2023-01-02,34,Cliente_0077,Headset Logitech,Tecnología,4,243.27,973.08,Provincias,Distribuidor
50,2023-01-21,12,Cliente_0063,Proyector Benq,Tecnología,11,2094.14,23035.54,Provincias,Teléfono
51,2023-01-01,19,Cliente_0058,"Monitor LG 24""",Tecnología,6,626.82,3760.92,Lima Sur,Directo
52,2023-01-21,2,Cliente_0181,Router WiFi 6,Tecnología,13,336.86,4379.18,Lima Sur,Directo
53,2023-01-08,33,Cliente_0029,Silla Ergonómica,Muebles,6,894.09,5364.54,Lima Centro,Distribuidor
54,2023-01-11,1,Cliente_0033,Mouse Inalámbrico,Tecnología,9,89.25,803.25,Lima Centro,E-commerce
55,2023-01-02,2,Cliente_0102,Archivador Metálico,Muebles,13,381.36,4957.68,Lima Sur,Directo
56,2023-01-03,13,Cliente_0108,Webcam Logitech,Tecnología,11,202.68,2229.48,Callao,Teléfono
57,2023-01-12,38,Cliente_0161,Teléfono IP,Tecnología,13,367.87,4782.31,Callao,Teléfono
58,2023-01-15,35,Cliente_0138,Papel A4 x500,Oficina,3,22.45,67.35,Provincias,Teléfono
59,2023-01-24,11,Cliente_0021,Webcam Logitech,Tecnología,1,211.44,211.44,Lima Sur,Distribuidor
60,2023-01-15,2,Cliente_0119,UPS 1000VA,Tecnología,15,406.53,6097.95,Lima Sur,Directo
61,2023-01-04,15,Cliente_0029,Mouse Inalámbrico,Tecnología,12,88.3,1059.6,Lima Centro,Teléfono
62,2023-01-16,36,Cliente_0173,Papel A4 x500,Oficina,3,21.61,64.83,Lima Este,E-commerce
63,2023-01-24,36,Cliente_0192,Cartucho Tinta Negro,Oficina,6,50.96,305.76,Lima Este,E-commerce
64,2023-01-14,27,Cliente_0112,Teclado Mecánico,Tecnología,2,206.22,412.44,Lima Centro,Teléfono
65,2023-01-21,47,Cliente_0073,Proyector Benq,Tecnología,3,1987.0,5961.0,Lima Este,Teléfono
66,2023-01-03,45,Cliente_0136,Router WiFi 6,Tecnología,7,345.06,2415.42,Lima Este,E-commerce
67,2023-01-24,30,Cliente_0164,Archivador Metálico,Muebles,6,434.97,2609.82,Lima Norte,E-commerce
68,2023-01-02,18,Cliente_0136,Disco Externo 1TB,Tecnología,15,316.09,4741.35,Provincias,Directo
69,2023-01-04,35,Cliente_0129,Archivador Metálico,Muebles,2,385.12,770.24,Provincias,Teléfono
70,2023-01-01,37,Cliente_0056,Cartucho Tinta Negro,Oficina,6,46.07,276.42,Lima Norte,E-commerce
71,2023-01-17,1,Cliente_0029,Mouse Inalámbrico,Tecnología,13,87.46,1136.98,Lima Centro,E-commerce
72,2023-01-19,42,Cliente_0065,Headset Logitech,Tecnología,11,206.68,2273.48,Lima Centro,Teléfono
73,2023-01-10,24,Cliente_0166,Escritorio Standing,Muebles,5,1216.47,6082.35,Lima Sur,Teléfono
74,2023-01-18,6,Cliente_0114,Pizarra Acrílica,Oficina,13,105.89,1376.57,Lima Centro,Teléfono
75,2023-01-05,31,Cliente_0118,Tablet Samsung,Tecnología,13,696.27,9051.51,Lima Sur,Distribuidor
76,2023-01-20,7,Cliente_0193,Teléfono IP,Tecnología,8,344.18,2753.44,Lima Sur,Directo
77,2023-01-24,40,Cliente_0147,Cartucho Tinta Negro,Oficina,8,41.43,331.44,Lima Norte,Distribuidor
78,2023-01-15,19,Cliente_0128,"Laptop HP 15""",Tecnología,4,3144.25,12577.0,Lima Sur,Directo
79,2023-01-18,50,Cliente_0073,Folder Manila x50,Oficina,7,18.5,129.5,Lima Sur,Distribuidor
80,2023-01-10,35,Cliente_0194,Proyector Benq,Tecnología,9,1783.77,16053.93,Provincias,Teléfono
81,2023-01-04,1,Cliente_0165,Teléfono IP,Tecnología,7,390.57,2733.99,Lima Centro,E-commerce
82,2023-01-14,14,Cliente_0151,Teclado Mecánico,Tecnología,6,203.81,1222.86,Provincias,Teléfono
83,2023-01-26,43,Cliente_0108,Disco Externo 1TB,Tecnología,6,302.67,1816.02,Callao,Teléfono
84,2023-01-17,27,Cliente_0068,Router WiFi 6,Tecnología,6,324.32,1945.92,Lima Centro,Teléfono
85,2023-01-14,46,Cliente_0148,Impresora Epson,Oficina,2,539.68,1079.36,Lima Este,Teléfono
86,2023-01-21,2,Cliente_0116,Proyector Benq,Tecnología,10,1857.54,18575.4,Lima Sur,Directo
87,2023-01-20,49,Cliente_0183,Teclado Mecánico,Tecnología,8,199.56,1596.48,Callao,E-commerce
88,2023-01-12,10,Cliente_0166,Teclado Mecánico,Tecnología,15,196.34,2945.1,Lima Centro,Distribuidor
89,2023-01-17,4,Cliente_0060,Folder Manila x50,Oficina,9,19.44,174.96,Lima Sur,Directo
90,2023-01-28,4,Cliente_0196,Folder Manila x50,Oficina,13,17.09,222.17,Lima Sur,Directo
91,2023-01-17,39,Cliente_0155,Folder Manila x50,Oficina,4,16.23,64.92,Lima Sur,Directo
92,2023-01-01,16,Cliente_0066,Webcam Logitech,Tecnología,6,184.68,1108.08,Lima Sur,Distribuidor
93,2023-01-01,22,Cliente_0063,Webcam Logitech,Tecnología,4,177.61,710.44,Lima Centro,E-commerce
94,2023-01-02,47,Cliente_0041,Pizarra Acrílica,Oficina,1,97.98,97.98,Lima Este,Teléfono
95,2023-01-12,18,Cliente_0149,Pizarra Acrílica,Oficina,13,98.99,1286.87,Provincias,Directo
96,2023-01-23,43,Cliente_0072,Folder Manila x50,Oficina,7,17.42,121.94,Callao,Teléfono
97,2023-01-22,3,Cliente_0032,Proyector Benq,Tecnología,7,1849.07,12943.49,Lima Este,Distribuidor
98,2023-01-21,45,Cliente_0192,Mouse Inalámbrico,Tecnología,5,87.17,435.85,Lima Este,E-commerce
99,2023-01-20,4,Cliente_0183,Teléfono IP,Tecnología,4,321.05,1284.2,Lima Sur,Directo
100,2023-01-27,43,Cliente_0152,Archivador Metálico,Muebles,6,381.65,2289.9,Callao,Teléfono
101,2023-01-06,35,Cliente_0040,Silla Ergonómica,Muebles,15,922.1,13831.5,Provincias,Teléfono
102,2023-01-16,9,Cliente_0163,UPS 1000VA,Tecnología,8,436.21,3489.68,Lima Norte,Distribuidor
103,2023-01-11,26,Cliente_0090,Disco Externo 1TB,Tecnología,7,301.56,2110.92,Lima Centro,E-commerce
104,2023-01-20,4,Cliente_0140,"Laptop HP 15""",Tecnología,12,3118.37,37420.44,Lima Sur,Directo
105,2023-01-24,45,Cliente_0166,UPS 1000VA,Tecnología,1,441.68,441.68,Lima Este,E-commerce
106,2023-01-15,8,Cliente_0193,Teléfono IP,Tecnología,3,322.08,966.24,Lima Centro,E-commerce
107,2023-01-12,33,Cliente_0134,Folder Manila x50,Oficina,14,19.82,277.48,Lima Centro,Distribuidor
108,2023-01-25,33,Cliente_0064,Tablet Samsung,Tecnología,12,700.57,8406.84,Lima Centro,Distribuidor
109,2023-01-22,22,Cliente_0106,Disco Externo 1TB,Tecnología,5,259.58,1297.9,Lima Centro,E-commerce
110,2023-01-26,49,Cliente_0095,Disco Externo 1TB,Tecnología,5,321.34,1606.7,Callao,E-commerce
111,2023-01-27,5,Cliente_0112,Silla Ergonómica,Muebles,6,1035.39,6212.34,Provincias,Distribuidor
112,2023-01-05,47,Cliente_0170,Proyector Benq,Tecnología,4,2001.2,8004.8,Lima Este,Teléfono
113,2023-01-16,48,Cliente_0149,"Monitor LG 24""",Tecnología,4,586.84,2347.36,Provincias,E-commerce
114,2023-01-14,9,Cliente_0110,Archivador Metálico,Muebles,12,412.14,4945.68,Lima Norte,Distribuidor
115,2023-01-20,24,Cliente_0033,Headset Logitech,Tecnología,8,228.96,1831.68,Lima Sur,Teléfono
116,2023-01-14,10,Cliente_0011,Proyector Benq,Tecnología,5,1745.15,8725.75,Lima Centro,Distribuidor
117,2023-01-24,46,Cliente_0091,Mouse Inalámbrico,Tecnología,2,79.69,159.38,Lima Este,Teléfono
118,2023-01-15,22,Cliente_0171,"Monitor LG 24""",Tecnología,4,668.1,2672.4,Lima Centro,E-commerce
119,2023-01-01,45,Cliente_0098,Papel A4 x500,Oficina,9,21.96,197.64,Lima Este,E-commerce
120,2023-01-07,31,Cliente_0166,Teléfono IP,Tecnología,14,316.16,4426.24,Lima Sur,Distribuidor
121,2023-01-23,24,Cliente_0114,Papel A4 x500,Oficina,13,24.07,312.91,Lima Sur,Teléfono
122,2023-01-03,40,Cliente_0199,"Monitor LG 24""",Tecnología,2,694.17,1388.34,Lima Norte,Distribuidor
123,2023-01-01,42,Cliente_0098,Tablet Samsung,Tecnología,2,734.7,1469.4,Lima Centro,Teléfono
124,2023-01-23,50,Cliente_0119,Folder Manila x50,Oficina,6,20.32,121.92,Lima Sur,Distribuidor
125,2023-01-16,50,Cliente_0141,"Monitor LG 24""",Tecnología,14,659.45,9232.3,Lima Sur,Distribuidor
126,2023-01-21,11,Cliente_0125,Escritorio Standing,Muebles,6,1341.53,8049.18,Lima Sur,Distribuidor
127,2023-01-04,24,Cliente_0148,Teléfono IP,Tecnología,6,330.22,1981.32,Lima Sur,Teléfono
